iter	Passed	Remaining
0	0	54
1	1	51
2	1	48
3	2	58
4	3	72
5	5	86
6	7	96
7	9	103
8	10	101
9	11	104
10	13	105
11	14	106
12	15	106
13	17	106
14	18	105
15	20	105
16	21	103
17	22	103
18	23	101
19	25	100
20	26	98
21	27	96
22	27	93
23	28	91
24	29	89
25	30	88
26	31	86
27	32	84
28	34	83
29	34	81
30	35	79
31	36	77
32	37	76
33	38	74
34	38	72
35	39	70
36	40	68
37	41	67
38	41	65
39	42	64
40	43	62
41	44	60
42	44	59
43	45	57
44	46	56
45	46	54
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	50	46
52	51	45
53	51	43
54	52	42
55	52	41
56	52	39
57	53	38
58	53	37
59	54	36
60	54	35
61	55	33
62	55	32
63	56	31
64	56	30
65	56	29
66	57	28
67	57	27
68	58	26
69	58	25
70	59	24
71	59	23
72	60	22
73	60	21
74	60	20
75	61	19
76	61	18
77	62	17
78	62	16
79	63	15
80	63	14
81	64	14
82	64	13
83	65	12
84	65	11
85	65	10
86	66	9
87	66	9
88	67	8
89	67	7
90	68	6
91	68	5
92	68	5
93	69	4
94	69	3
95	70	2
96	70	2
97	71	1
98	71	0
99	72	0
